country,current_year,current_ratings,previous_year,previous_ratings,rating_growth
Afrique du Sud,2013,20,2012,370,-350
Afrique du Sud,2014,357,2013,20,337
Afrique du Sud,2015,724,2014,357,367
Afrique du Sud,2016,868,2015,724,144
Afrique du Sud,2017,368,2016,868,-500
Afrique du Sud,2018,1608,2017,368,1240
Afrique du Sud,2019,645,2018,1608,-963
Afrique du Sud,2020,319,2019,645,-326
Afrique du Sud,2021,16,2020,319,-303
Allemagne,2016,2,2015,7,-5
Allemagne,2017,107,2016,2,105
Allemagne,2018,303,2017,107,196
Allemagne,2019,81,2018,303,-222
Allemagne,2020,285,2019,81,204
Allemagne,2021,88,2020,285,-197
Argentine,2015,2218,2014,1043,1175
Argentine,2016,139,2015,2218,-2079
Argentine,2017,276,2016,139,137
Argentine,2018,5003,2017,276,4727
Argentine,2019,7525,2018,5003,2522
Argentine,2020,747,2019,7525,-6778
Australie,2016,1480,2015,769,711
Australie,2017,405,2016,1480,-1075
Australie,2018,1136,2017,405,731
Chili,2013,1144,2012,244,900
Chili,2014,3423,2013,1144,2279
Chili,2015,152,2014,3423,-3271
Chili,2016,2743,2015,152,2591
Chili,2017,1913,2016,2743,-830
Chili,2018,1624,2017,1913,-289
Chili,2019,1065,2018,1624,-559
Chili,2020,735,2019,1065,-330
Espagne,1965,301,1964,3,298
Espagne,2005,622,2004,302,320
Espagne,2010,907,2009,113,794
Espagne,2011,1063,2010,907,156
Espagne,2012,979,2011,1063,-84
Espagne,2013,469,2012,979,-510
Espagne,2014,1449,2013,469,980
Espagne,2015,3083,2014,1449,1634
Espagne,2016,8018,2015,3083,4935
Espagne,2017,10530,2016,8018,2512
Espagne,2018,12265,2017,10530,1735
Espagne,2019,1563,2018,12265,-10702
Espagne,2020,3913,2019,1563,2350
Espagne,2021,296,2020,3913,-3617
France,1949,3,1948,1,2
France,1977,134,1976,14,120
France,1983,756,1982,1491,-735
France,1987,1,1986,1288,-1287
France,1988,64,1987,1,63
France,1989,247,1988,64,183
France,1990,3461,1989,247,3214
France,1991,302,1990,3461,-3159
France,1992,449,1991,302,147
France,1993,776,1992,449,327
France,1996,1925,1995,465,1460
France,1997,2910,1996,1925,985
France,1998,5442,1997,2910,2532
France,1999,6720,1998,5442,1278
France,2000,10877,1999,6720,4157
France,2001,3992,2000,10877,-6885
France,2002,11421,2001,3992,7429
France,2003,2723,2002,11421,-8698
France,2004,21852,2003,2723,19129
France,2005,8335,2004,21852,-13517
France,2006,30611,2005,8335,22276
France,2007,8412,2006,30611,-22199
France,2008,15939,2007,8412,7527
France,2009,21025,2008,15939,5086
France,2010,8463,2009,21025,-12562
France,2011,11758,2010,8463,3295
France,2012,20710,2011,11758,8952
France,2013,5808,2012,20710,-14902
France,2014,11023,2013,5808,5215
France,2015,12162,2014,11023,1139
France,2016,10382,2015,12162,-1780
France,2017,8342,2016,10382,-2040
France,2018,8986,2017,8342,644
France,2019,4339,2018,8986,-4647
France,2020,826,2019,4339,-3513
France,2021,2,2020,826,-824
Grèce,2020,12,2019,62,-50
Hongrie,2014,226,2013,704,-478
Hongrie,2015,226,2014,226,0
Hongrie,2016,358,2015,226,132
Hongrie,2017,1057,2016,358,699
Italie,1959,37,1958,35,2
Italie,1960,18,1959,37,-19
Italie,1961,52,1960,18,34
Italie,1974,24,1973,1,23
Italie,1979,123,1978,101,22
Italie,1980,105,1979,123,-18
Italie,1981,13,1980,105,-92
Italie,1982,789,1981,13,776
Italie,1983,404,1982,789,-385
Italie,1984,14,1983,404,-390
Italie,1985,381,1984,14,367
Italie,1986,45,1985,381,-336
Italie,1987,88,1986,45,43
Italie,1988,1525,1987,88,1437
Italie,1989,687,1988,1525,-838
Italie,1990,443,1989,687,-244
Italie,1991,273,1990,443,-170
Italie,1992,631,1991,273,358
Italie,1993,363,1992,631,-268
Italie,1994,1450,1993,363,1087
Italie,1995,2094,1994,1450,644
Italie,1996,975,1995,2094,-1119
Italie,1997,7095,1996,975,6120
Italie,1998,6937,1997,7095,-158
Italie,1999,6041,1998,6937,-896
Italie,2000,5642,1999,6041,-399
Italie,2001,6799,2000,5642,1157
Italie,2002,2800,2001,6799,-3999
Italie,2003,3961,2002,2800,1161
Italie,2004,12483,2003,3961,8522
Italie,2005,12991,2004,12483,508
Italie,2006,9513,2005,12991,-3478
Italie,2007,21068,2006,9513,11555
Italie,2008,13044,2007,21068,-8024
Italie,2009,19882,2008,13044,6838
Italie,2010,22011,2009,19882,2129
Italie,2011,28769,2010,22011,6758
Italie,2012,34665,2011,28769,5896
Italie,2013,37338,2012,34665,2673
Italie,2014,11078,2013,37338,-26260
Italie,2015,42341,2014,11078,31263
Italie,2016,45128,2015,42341,2787
Italie,2017,54908,2016,45128,9780
Italie,2018,19596,2017,54908,-35312
Italie,2019,18100,2018,19596,-1496
Italie,2020,4706,2019,18100,-13394
Italie,2021,782,2020,4706,-3924
Italie,2022,31,2021,782,-751
Moldavie,2017,2030,2016,2031,-1
Moldavie,2020,22,2019,111,-89
Portugal,2001,52,2000,145,-93
Portugal,2016,365,2015,4,361
Portugal,2017,675,2016,365,310
Portugal,2018,136,2017,675,-539
Portugal,2019,1733,2018,136,1597
Portugal,2020,69,2019,1733,-1664
Portugal,2021,17,2020,69,-52
États-Unis,1997,299,1996,8,291
États-Unis,1998,104,1997,299,-195
États-Unis,1999,440,1998,104,336
États-Unis,2000,12,1999,440,-428
États-Unis,2001,46,2000,12,34
États-Unis,2002,21,2001,46,-25
États-Unis,2003,42,2002,21,21
États-Unis,2004,36,2003,42,-6
États-Unis,2005,109,2004,36,73
États-Unis,2006,135,2005,109,26
États-Unis,2007,123,2006,135,-12
États-Unis,2008,125,2007,123,2
États-Unis,2009,163,2008,125,38
États-Unis,2010,62,2009,163,-101
États-Unis,2013,8910,2012,7587,1323
États-Unis,2014,626,2013,8910,-8284
États-Unis,2015,5452,2014,626,4826
États-Unis,2016,3537,2015,5452,-1915
États-Unis,2017,11307,2016,3537,7770
États-Unis,2018,20227,2017,11307,8920
États-Unis,2019,25089,2018,20227,4862
États-Unis,2020,1068,2019,25089,-24021
